arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ ps aux --sort=-%mem | awk 'NR==2 {print $2}'2360
arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ kill -9 2360
arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ ps aux
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.3  22928 13884 ?        Ss   19:46   0:01 /sbin/init splash
arunman+    1278  0.0  0.3 899152 15252 ?        Ssl  19:46   0:00 /usr/libexec/xdg-desktop-portal
arunman+    1285  0.0  0.1 536560  7040 ?        Ssl  19:46   0:00 /usr/libexec/xdg-document-portal
arunman+    1289  0.0  0.1 309308  5888 ?        Ssl  19:46   0:00 /usr/libexec/xdg-permission-store
root        1297  0.0  0.0   2704  1792 ?        Ss   19:46   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/
arunman+    1301  0.0  0.4 487196 19576 ?        Ssl  19:46   0:00 /usr/libexec/xdg-desktop-portal-gtk
root        1305  0.0  0.2 316564  9088 ?        Ssl  19:46   0:00 /usr/libexec/upowerd
arunman+    1348  0.0  0.1 382828  7680 ?        Ssl  19:46   0:00 /usr/libexec/at-spi-bus-launcher
arunman+    1356  0.0  0.1   9476  4864 ?        S    19:46   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf
arunman+    1357  0.0  1.7 244360 69564 ?        S    19:46   0:00 /usr/bin/Xwayland :1 -auth /run/user/1000/xauth_WITyom -listenfd 81 -listenfd 82 
arunman+    1363  0.0  0.1 236068  7296 ?        Sl   19:46   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
arunman+    1396  0.0  2.3 495232 92252 ?        Ssl  19:46   0:00 /usr/bin/ksmserver
arunman+    1398  0.0  3.1 1304228 124604 ?      Ssl  19:46   0:00 /usr/bin/kded6
arunman+    1411  0.3  7.2 2113952 288916 ?      Ssl  19:46   0:05 /usr/bin/plasmashell --no-respawn
arunman+    1432  0.0  2.1 840192 85948 ?        Ssl  19:46   0:00 /usr/lib/x86_64-linux-gnu/libexec/kactivitymanagerd
root        1453  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u261:7-ttm]
arunman+    1465  0.0  1.6 407552 63672 ?        Ssl  19:46   0:00 /usr/bin/gmenudbusmenuproxy
arunman+    1466  0.0  2.3 495468 93080 ?        Ssl  19:46   0:00 /usr/bin/kaccess
arunman+    1468  0.0  2.3 789760 94628 ?        Ssl  19:46   0:00 /usr/lib/x86_64-linux-gnu/libexec/polkit-kde-authentication-agent-1
arunman+    1469  0.0  2.3 861324 93672 ?        Ssl  19:46   0:00 /usr/lib/x86_64-linux-gnu/libexec/org_kde_powerdevil
arunman+    1472  0.0  2.3 571176 94844 ?        Ssl  19:46   0:00 /usr/lib/x86_64-linux-gnu/libexec/xdg-desktop-portal-kde
arunman+    1474  0.0  1.5 406792 62984 ?        Ssl  19:46   0:00 /usr/bin/xembedsniproxy
arunman+    1476  0.0  0.1 230108  5632 ?        Ssl  19:46   0:00 /usr/libexec/dconf-service
arunman+    1520  0.0  0.1   8168  4480 ?        S    19:46   0:00 /usr/bin/xsettingsd
arunman+    1554  0.0  0.1  49072  7168 ?        Ss   19:46   0:00 /usr/libexec/bluetooth/obexd
root        1582  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u261:10-ttm]
root        1583  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u261:11-ttm]
arunman+    1706  0.0  2.6 630932 105276 ?       Ssl  19:46   0:00 /usr/bin/kdeconnectd
arunman+    1711  0.0  2.6 656248 103368 ?       Ssl  19:46   0:00 /usr/bin/xwaylandvideobridge
arunman+    1721  0.0  0.1 310260  6016 ?        Ssl  19:46   0:00 /usr/libexec/geoclue-2.0/demos/agent
arunman+    1722  0.1  4.2 1008808 167016 ?      Ssl  19:46   0:02 /usr/lib/x86_64-linux-gnu/libexec/DiscoverNotifier
root        1774  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u261:13-ttm]
root        1779  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u260:9-ttm]
root        1802  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u260:10-ttm]
root        1806  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u260:11-ttm]
root        1808  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u260:13-ttm]
root        1810  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u260:15-ttm]
arunman+    2373  0.4  9.3 2026200 371152 ?      Ssl  19:47   0:06 /usr/bin/plasma-discover --mode update
root        2385  0.1  0.6 578680 24340 ?        Ssl  19:47   0:01 /usr/libexec/fwupd/fwupd
arunman+    3401  0.0  2.7 269005412 107232 ?    Ssl  19:47   0:00 /usr/lib/x86_64-linux-gnu/libexec/baloorunner
arunman+    3418  0.3  3.7 761652 150348 ?       Ssl  19:47   0:04 /usr/bin/konsole
arunman+    3437  0.0  0.1  11404  5376 pts/1    Ss   19:47   0:00 /bin/bash
root        4929  0.0  0.0      0     0 ?        I    19:53   0:00 [kworker/1:3-events]
root        5419  0.0  0.0      0     0 ?        I    19:57   0:00 [kworker/u257:0-events_unbound]
root        5515  0.0  0.0      0     0 ?        I    19:57   0:00 [kworker/u256:0-ext4-rsv-conversion]
root        5589  0.0  0.0      0     0 ?        I    19:58   0:00 [kworker/0:2-events]
root        5936  0.0  0.0      0     0 ?        I    20:01   0:00 [kworker/u258:1-events_unbound]
root        6127  0.0  0.0      0     0 ?        I    20:03   0:00 [kworker/1:0-events]
root        6214  0.0  0.0      0     0 ?        I    20:05   0:00 [kworker/0:1-mm_percpu_wq]
root        6237  0.0  0.0      0     0 ?        I    20:05   0:00 [kworker/u257:1-events_unbound]
arunman+    6349  0.0  0.7 268540984 30592 ?     S    20:06   0:00 /lib/x86_64-linux-gnu/libexec/kf6/kioworker /usr/lib/x86_64-linux-gnu/qt6/plugins
arunman+    6350  0.0  0.7 268540984 30592 ?     S    20:06   0:00 /lib/x86_64-linux-gnu/libexec/kf6/kioworker /usr/lib/x86_64-linux-gnu/qt6/plugins
root        6384  0.0  0.0      0     0 ?        I<   20:07   0:00 [kworker/u260:3-ttm]
root        6430  0.0  0.0      0     0 ?        I<   20:07   0:00 [kworker/u261:1-ttm]
root        6439  0.0  0.0      0     0 ?        I<   20:07   0:00 [kworker/u260:4-ttm]
root        6440  0.0  0.0      0     0 ?        I<   20:07   0:00 [kworker/u260:5]
root        6603  0.0  0.0      0     0 ?        I    20:09   0:00 [kworker/1:1]
root        6612  0.0  0.0      0     0 ?        I<   20:09   0:00 [kworker/u261:2-ttm]
root        6613  0.0  0.0      0     0 ?        I<   20:09   0:00 [kworker/u261:3-ttm]
